step,wall_time,value
0,1749492728.9606636,2.311145544052124
1,1749492728.9606636,0.8781991600990295
2,1749492728.9606636,0.4730392396450043
3,1749492728.9606636,0.42251846194267273
4,1749492728.9606636,0.46053487062454224
5,1749492728.9606636,0.47306331992149353
6,1749492728.9606636,0.4443328082561493
7,1749492728.9606636,0.4328703284263611
8,1749492728.9606636,0.48408547043800354
9,1749492728.9606636,0.4566538631916046
10,1749492728.9606636,0.4574437439441681
11,1749492728.9606636,0.4636794328689575
12,1749492728.9606636,0.43411239981651306
13,1749492728.9606636,0.43302232027053833
14,1749492728.9606636,0.4491367042064667
15,1749492728.9606636,0.4683082401752472
16,1749492728.9606636,0.4713817834854126
17,1749492728.9606636,0.441817969083786
18,1749492728.9606636,0.47742366790771484
19,1749492728.9606636,0.5076810121536255
20,1749492728.9606636,0.44938892126083374
