step,wall_time,value
1,1749492728.9606636,87.81991600990295
2,1749492728.9606636,47.30392396450043
3,1749492728.9606636,42.25184619426727
4,1749492728.9606636,46.053487062454224
5,1749492728.9606636,47.30633199214935
6,1749492728.9606636,44.43328082561493
7,1749492728.9606636,43.28703284263611
8,1749492728.9606636,48.408547043800354
9,1749492728.9606636,45.66538631916046
10,1749492728.9606636,45.74437439441681
11,1749492728.9606636,46.36794328689575
12,1749492728.9606636,43.411239981651306
13,1749492728.9606636,43.30223202705383
14,1749492728.9606636,44.91367042064667
15,1749492728.9606636,46.83082401752472
16,1749492728.9606636,47.13817834854126
17,1749492728.9606636,44.1817969083786
18,1749492728.9606636,47.742366790771484
19,1749492728.9606636,50.76810121536255
20,1749492728.9606636,44.938892126083374
