step,wall_time,value
0,1749447819.6808825,2.319807767868042
1,1749447819.6808825,1.558215856552124
2,1749447819.6808825,0.7247509956359863
3,1749447819.6818762,0.46355822682380676
4,1749447819.6818762,0.469292014837265
5,1749447819.6818762,0.49072951078414917
6,1749447819.6818762,0.49036747217178345
7,1749447819.6818762,0.49564701318740845
8,1749447819.6818762,0.4902155101299286
9,1749447819.6828742,0.5181477069854736
10,1749447819.6828742,0.5224456787109375
11,1749447819.6828742,0.5131174325942993
12,1749447819.6828742,0.5188769102096558
13,1749447819.6828742,0.5280279517173767
14,1749447819.683874,0.5389103889465332
15,1749447819.683874,0.5330966711044312
16,1749447819.683874,0.5274056792259216
17,1749447819.683874,0.5350961089134216
18,1749447819.683874,0.5447471141815186
19,1749447819.683874,0.532985508441925
20,1749447819.6848729,0.5256538987159729
