step,wall_time,value
2,1749479829.8326354,10.416666984558105
5,1749479835.0410101,9.635416984558105
7,1749479838.6267014,10.546875
8,1749479840.424927,10.76388931274414
10,1749479843.866797,10.511363983154297
13,1749479848.9783142,9.821428298950195
15,1749479852.5399694,10.302734375
16,1749479854.3072445,10.15625
17,1749479856.090345,10.416666984558105
21,1749479863.3559885,10.227272987365723
22,1749479865.1130924,10.32608699798584
23,1749479866.8837826,10.286458015441895
28,1749479875.9273937,10.15625
29,1749479877.775838,10.208333015441895
30,1749479879.5356379,10.15625
32,1749479883.0873902,10.03787899017334
37,1749479892.09948,10.238487243652344
39,1749479895.64383,10.56640625
42,1749479901.1294272,10.9375
44,1749479904.5573285,10.95486068725586
46,1749479908.0641487,11.236701965332031
47,1749479909.7269404,11.214192390441895
49,1749479913.2349408,11.3125
51,1749479916.8695533,11.508413314819336
52,1749479918.6501849,11.645047187805176
55,1749479924.0614316,11.760602951049805
56,1749479925.86682,11.814693450927734
60,1749479933.1399758,12.167008399963379
62,1749479936.7549784,12.202381134033203
63,1749479938.5731978,12.29248046875
65,1749479942.0751402,12.5
66,1749479944.0149305,12.5116605758667
67,1749479945.8095958,12.614890098571777
68,1749479947.6492178,12.681159019470215
69,1749479949.615003,12.823660850524902
72,1749479955.1508,12.928082466125488
74,1749479958.7598178,13.125
78,1749479966.0578136,13.291139602661133
81,1749479971.5252793,13.47179889678955
82,1749479973.3039107,13.516566276550293
84,1749479976.9377162,13.566176414489746
85,1749479978.7612784,13.608284950256348
87,1749479982.4175768,13.725142478942871
89,1749479986.1333675,13.862847328186035
92,1749479991.6395848,14.087701797485352
94,1749479995.2078707,14.259868621826172
95,1749479996.973016,14.396159172058105
96,1749479998.7842937,14.441043853759766
98,1749480002.284673,14.701704978942871
99,1749480004.094475,14.7578125
100,1749480005.7854772,14.828279495239258
101,1749480007.570724,14.912683486938477
103,1749480011.1193173,15.084135055541992
104,1749480012.8624206,15.126487731933594
106,1749480016.3442829,15.29643726348877
107,1749480018.2135136,15.328413963317871
111,1749480025.2716513,15.729631423950195
115,1749480032.394454,15.995420455932617
116,1749480034.201987,16.112445831298828
118,1749480037.7588956,16.274948120117188
119,1749480039.5394619,16.32161521911621
120,1749480041.375757,16.29648780822754
121,1749480043.2190845,16.419057846069336
122,1749480044.9761028,16.59044647216797
123,1749480046.7053246,16.670866012573242
125,1749480050.230409,16.852678298950195
127,1749480053.765729,16.998291015625
128,1749480055.5956595,17.005813598632812
131,1749480060.839902,17.151988983154297
132,1749480062.6307454,17.193374633789062
134,1749480066.0710504,17.37847137451172
136,1749480069.6210744,17.55816650390625
138,1749480073.1730852,17.710206985473633
139,1749480074.9049463,17.76785659790039
140,1749480076.6480963,17.846853256225586
142,1749480080.1560647,18.001529693603516
144,1749480083.7527082,18.119611740112305
145,1749480085.4815924,18.188142776489258
146,1749480087.2994654,18.218538284301758
149,1749480092.558224,18.39583396911621
151,1749480096.164143,18.528987884521484
152,1749480097.9399023,18.566177368164062
154,1749480101.5026038,18.70967674255371
155,1749480103.2804346,18.810096740722656
156,1749480105.072031,18.8544979095459
158,1749480108.6598198,18.93671417236328
160,1749480112.3355942,18.968360900878906
161,1749480114.1736374,19.039352416992188
165,1749480121.5309322,19.197101593017578
167,1749480125.117888,19.317337036132812
171,1749480132.4134305,19.53125
