step,wall_time,value
2,1749479829.8325906,2.334174394607544
5,1749479835.0409296,2.3389298915863037
7,1749479838.62665,2.3373498916625977
8,1749479840.4248803,2.3355135917663574
10,1749479843.8667567,2.3317759037017822
13,1749479848.9782407,2.328366756439209
15,1749479852.5399292,2.3267455101013184
16,1749479854.307197,2.324544906616211
17,1749479856.0903056,2.3242619037628174
21,1749479863.355916,2.3225598335266113
22,1749479865.1130495,2.320611000061035
23,1749479866.8837283,2.319538116455078
28,1749479875.9273512,2.3169307708740234
29,1749479877.7757964,2.3162689208984375
30,1749479879.535584,2.3145837783813477
32,1749479883.0873203,2.3133833408355713
37,1749479892.0994294,2.3099634647369385
39,1749479895.6437886,2.3087899684906006
42,1749479901.129384,2.306580066680908
44,1749479904.5572886,2.3050105571746826
46,1749479908.0640805,2.3032660484313965
47,1749479909.7268987,2.3030598163604736
49,1749479913.2348886,2.302429676055908
51,1749479916.8695102,2.3008174896240234
52,1749479918.6501484,2.3001327514648438
55,1749479924.0613918,2.2990870475769043
56,1749479925.8667738,2.2985193729400635
60,1749479933.139929,2.2967751026153564
62,1749479936.754934,2.295928955078125
63,1749479938.573156,2.2953877449035645
65,1749479942.0750945,2.293436288833618
66,1749479944.0148933,2.292942762374878
67,1749479945.809552,2.2925679683685303
68,1749479947.649168,2.2924394607543945
69,1749479949.61496,2.291498899459839
72,1749479955.1507602,2.2902414798736572
74,1749479958.759775,2.2888379096984863
78,1749479966.0577729,2.2869231700897217
81,1749479971.5252407,2.2855515480041504
82,1749479973.3038669,2.2848894596099854
84,1749479976.9376595,2.284132719039917
85,1749479978.761233,2.283640146255493
87,1749479982.4175065,2.282768964767456
89,1749479986.1333272,2.281635046005249
92,1749479991.6395235,2.2798404693603516
94,1749479995.20782,2.278756856918335
95,1749479996.9729774,2.278003215789795
96,1749479998.7842524,2.277613639831543
98,1749480002.2846282,2.276492118835449
99,1749480004.094436,2.276125431060791
100,1749480005.7854357,2.2752342224121094
101,1749480007.5706847,2.274671792984009
103,1749480011.119277,2.2732551097869873
104,1749480012.862381,2.2728633880615234
106,1749480016.344242,2.271590232849121
107,1749480018.213475,2.271070957183838
111,1749480025.2716103,2.2688682079315186
115,1749480032.3944142,2.2665855884552
116,1749480034.2019446,2.2659642696380615
118,1749480037.7588458,2.264538049697876
119,1749480039.5394137,2.263970375061035
120,1749480041.3757162,2.263552665710449
121,1749480043.2190442,2.2630691528320312
122,1749480044.9760647,2.2624356746673584
123,1749480046.705275,2.2617788314819336
125,1749480050.2303696,2.260370969772339
127,1749480053.76569,2.2591159343719482
128,1749480055.59562,2.258720874786377
131,1749480060.8398438,2.2572789192199707
132,1749480062.6306996,2.256657600402832
134,1749480066.071009,2.2554640769958496
136,1749480069.6210368,2.254124641418457
138,1749480073.1730466,2.2530672550201416
139,1749480074.9049096,2.2524595260620117
140,1749480076.6480575,2.251856565475464
142,1749480080.1560276,2.2507662773132324
144,1749480083.7526698,2.2496933937072754
145,1749480085.4815536,2.2491371631622314
146,1749480087.2994258,2.2486581802368164
149,1749480092.5581846,2.247025489807129
151,1749480096.1641037,2.2455244064331055
152,1749480097.9398522,2.2452189922332764
154,1749480101.5025642,2.2440223693847656
155,1749480103.2803712,2.2433955669403076
156,1749480105.0719936,2.242755174636841
158,1749480108.6597803,2.241396903991699
160,1749480112.3355541,2.240483522415161
161,1749480114.1735992,2.239997625350952
165,1749480121.5308926,2.238372325897217
167,1749480125.1178412,2.2373154163360596
171,1749480132.4133914,2.235342264175415
175,1749480139.649267,2.232789993286133
176,1749480141.3894126,2.232104539871216
182,1749480152.2051594,2.2285478115081787
188,1749480162.9775462,2.2247679233551025
189,1749480164.7596455,2.2240889072418213
190,1749480166.5569654,2.2235474586486816
194,1749480173.7643085,2.2209484577178955
197,1749480179.087285,2.2190070152282715
198,1749480180.8941503,2.2183704376220703
201,1749480186.3021202,2.2163515090942383
202,1749480188.150308,2.215811252593994
203,1749480189.9659238,2.2152984142303467
205,1749480193.5248094,2.214235305786133
206,1749480195.2647045,2.2136688232421875
211,1749480204.329112,2.210455894470215
212,1749480206.1352823,2.209716320037842
213,1749480207.9306011,2.209066390991211
214,1749480209.7316759,2.208442449569702
215,1749480211.5790663,2.207979917526245
216,1749480213.3476827,2.2073590755462646
218,1749480216.8876264,2.2059104442596436
219,1749480218.6987574,2.2052395343780518
220,1749480220.508325,2.2044475078582764
221,1749480222.3185687,2.2037806510925293
223,1749480226.083649,2.2024972438812256
225,1749480229.5332198,2.2011239528656006
227,1749480233.0893202,2.1996910572052
229,1749480236.7210705,2.1985604763031006
231,1749480240.3169682,2.197284698486328
232,1749480242.1525164,2.1966288089752197
234,1749480245.7573187,2.1953485012054443
235,1749480247.5652647,2.194617986679077
236,1749480249.3622017,2.194141387939453
238,1749480252.9431217,2.1925277709960938
239,1749480254.7330928,2.191882848739624
240,1749480256.51072,2.191192865371704
242,1749480260.04762,2.1898105144500732
248,1749480270.8095865,2.1853256225585938
250,1749480274.3226347,2.183685064315796
251,1749480276.178394,2.182868719100952
252,1749480277.9709785,2.1821181774139404
253,1749480279.7551403,2.181191921234131
254,1749480281.4946268,2.1803510189056396
255,1749480283.261719,2.1796059608459473
257,1749480286.5927866,2.177821159362793
259,1749480290.112801,2.1762239933013916
260,1749480291.859874,2.175539255142212
265,1749480300.8758767,2.1712663173675537
266,1749480302.7019234,2.1706202030181885
268,1749480306.2851057,2.16910719871521
271,1749480311.7889125,2.166841506958008
273,1749480315.3180938,2.1647777557373047
274,1749480317.0855243,2.1637661457061768
275,1749480318.8782563,2.162860870361328
277,1749480322.4339998,2.1611244678497314
280,1749480327.6720986,2.158302068710327
281,1749480329.379674,2.1572368144989014
284,1749480334.55392,2.1543211936950684
285,1749480336.2958138,2.153358221054077
286,1749480338.1169295,2.1524157524108887
288,1749480341.6626039,2.149932622909546
291,1749480346.911249,2.1467907428741455
292,1749480348.7120578,2.145691394805908
293,1749480350.569482,2.144526958465576
297,1749480357.887112,2.139641046524048
299,1749480361.336903,2.1368448734283447
301,1749480364.8069162,2.1342506408691406
302,1749480366.5292733,2.1327950954437256
303,1749480368.2605762,2.13142991065979
304,1749480369.894023,2.129884719848633
305,1749480371.5771842,2.1284139156341553
307,1749480375.0159762,2.1255087852478027
308,1749480376.7516563,2.1242682933807373
309,1749480378.4518871,2.1226422786712646
312,1749480383.7964401,2.118664503097534
313,1749480385.531869,2.1172292232513428
