epoch,batch,Loss,Acc,Set
0,0,31.0,0.1171875,train
0,0,30.85706762834029,0.6960227272727273,test
0,1,31.0,0.078125,train
0,1,30.85706762834029,0.6960227272727273,test
0,2,31.0,0.09375,train
0,2,27.567241842096504,0.07883522727272728,test
0,3,27.738059997558594,0.046875,train
0,3,14.182938055558639,0.03622159090909091,test
0,4,13.109994888305664,0.0546875,train
0,4,18.057545922019266,0.5738636363636364,test
0,5,16.427274703979492,0.1796875,train
0,5,20.638000054792926,0.6633522727272727,test
0,6,19.60772705078125,0.1953125,train
0,6,19.140011180530895,0.625,test
0,7,18.354862213134766,0.1640625,train
0,7,15.688278718428178,0.5007102272727273,test
0,8,15.109050750732422,0.171875,train
0,8,12.915616295554422,0.33451704545454547,test
0,9,11.779145240783691,0.15625,train
0,9,16.63474568453702,0.2450284090909091,test
0,10,15.876058578491211,0.203125,train
0,10,16.486452102661133,0.33735795454545453,test
0,11,16.681821823120117,0.1796875,train
0,11,13.542149890552867,0.3565340909090909,test
0,12,13.385305404663086,0.15625,train
0,12,12.847674889998002,0.4630681818181818,test
0,13,12.299934387207031,0.1953125,train
0,13,13.844480687921697,0.5333806818181818,test
0,14,13.57483196258545,0.1640625,train
0,14,14.271542982621627,0.5454545454545454,test
0,15,13.800085067749023,0.28125,train
0,15,13.704946691339666,0.5490056818181818,test
0,16,13.474308967590332,0.1953125,train
0,16,12.682083216580478,0.515625,test
0,17,12.38115406036377,0.1953125,train
0,17,12.165872833945535,0.4680397727272727,test
0,18,11.326200485229492,0.1953125,train
0,18,12.557570284063166,0.44176136363636365,test
0,19,11.714366912841797,0.1640625,train
0,19,13.275489633733576,0.4303977272727273,test
0,20,12.446938514709473,0.2109375,train
0,20,13.239364190535111,0.41832386363636365,test
0,21,12.462716102600098,0.296875,train
0,21,12.137632369995117,0.4630681818181818,test
0,22,12.051331520080566,0.296875,train
0,22,10.982871879230846,0.5617897727272727,test
0,23,10.87515926361084,0.3828125,train
0,23,10.3882980780168,0.6555397727272727,test
0,24,10.756560325622559,0.359375,train
0,24,10.054238362745805,0.7130681818181818,test
0,25,10.765902519226074,0.484375,train
0,25,9.701881538737904,0.7393465909090909,test
0,26,10.676637649536133,0.390625,train
0,26,9.493718147277832,0.7450284090909091,test
0,27,10.373306274414062,0.453125,train
0,27,9.714170109141957,0.7684659090909091,test
0,28,10.375848770141602,0.46875,train
0,28,9.722583597356623,0.8224431818181818,test
0,29,9.959687232971191,0.515625,train
0,29,9.162892818450928,0.9055397727272727,test
0,30,10.015853881835938,0.4609375,train
0,30,8.393851843747226,0.9502840909090909,test
0,31,9.779308319091797,0.3984375,train
0,31,7.890035195784136,0.9509943181818182,test
0,32,9.883406639099121,0.4453125,train
0,32,7.654712937094948,0.9339488636363636,test
0,33,9.646880149841309,0.421875,train
0,33,7.686096754941073,0.8877840909090909,test
0,34,9.715690612792969,0.4140625,train
0,34,7.8703460259871045,0.8259943181818182,test
0,35,9.18730640411377,0.5,train
0,35,8.134582649577748,0.8046875,test
0,36,9.282754898071289,0.5234375,train
0,36,8.36452648856423,0.7776988636363636,test
0,37,9.37354564666748,0.484375,train
0,37,8.485911586067893,0.7677556818181818,test
0,38,9.257272720336914,0.5234375,train
0,38,8.553094387054443,0.7890625,test
0,39,8.674448013305664,0.5859375,train
0,39,8.365913304415615,0.8401988636363636,test
0,40,8.940227508544922,0.5703125,train
0,40,7.701158263466575,0.8984375,test
0,41,8.721996307373047,0.59375,train
0,41,6.211612051183527,0.9438920454545454,test
