step,wall_time,value
0,1749514465.4738338,8.46519023180008
1,1749514465.4738338,79.64794039726257
2,1749514465.4738338,88.6273741722107
3,1749514465.4738338,91.86115264892578
4,1749514465.4748323,93.23576092720032
5,1749514465.4748323,94.46202516555786
6,1749514465.4748323,95.11471390724182
7,1749514465.4748323,95.64873576164246
8,1749514465.4748323,95.75751423835754
9,1749514465.4748323,96.09375
10,1749514465.4748323,96.4992105960846
