step,wall_time,value
0,1749585730.247627,10.109999656677246
1,1749585730.247627,61.79999923706055
2,1749585730.247627,84.54000091552734
3,1749585730.247627,81.5199966430664
4,1749585730.247627,83.13999938964844
5,1749585730.247627,81.06999969482422
6,1749585730.247627,82.79000091552734
7,1749585730.247627,79.8499984741211
8,1749585730.247627,83.08999633789062
9,1749585730.247627,81.95999908447266
10,1749585730.247627,80.76000213623047
11,1749585730.248627,82.2300033569336
12,1749585730.248627,82.1500015258789
13,1749585730.248627,80.66999816894531
14,1749585730.248627,81.05999755859375
15,1749585730.249627,81.3499984741211
16,1749585730.249627,81.79000091552734
17,1749585730.249627,83.18000030517578
18,1749585730.249627,82.37999725341797
19,1749585730.2506278,80.23999786376953
20,1749585730.2506278,82.51000213623047
