step,wall_time,value
1,1749530587.3807502,-100.0
2,1749530587.380757,-100.0
3,1749530587.380762,-100.0
4,1749530587.3807669,-100.0
5,1749530587.380772,-100.0
6,1749530587.380777,-100.0
7,1749530587.3807821,-100.0
8,1749530587.380787,-100.0
9,1749530587.3807921,-100.0
10,1749530587.3807979,-100.0
