step,wall_time,value
596,1749378871.331923,0.9296875
597,1749378871.378858,0.9453125
600,1749378871.51301,1.0
606,1749378871.7944953,1.0
607,1749378871.8405588,1.0
608,1749378871.8848438,1.0
615,1749378872.2117205,0.0
622,1749378872.5393329,0.0
631,1749378872.970781,1.0
633,1749378873.0639381,1.0
638,1749378873.2977464,1.0
643,1749378873.5341477,1.0
650,1749378873.8705845,1.0
652,1749378873.9632213,1.0
653,1749378874.0093327,1.0
655,1749378874.1018953,1.0
657,1749378874.2010841,1.0
664,1749378874.521079,0.0
666,1749378874.6135807,0.0
668,1749378874.710761,0.0
685,1749378875.5036001,1.0
691,1749378875.7810018,1.0
706,1749378876.4676218,1.0
707,1749378876.5127063,1.0
709,1749378876.6052094,0.0
710,1749378876.65682,0.0
713,1749378876.7954214,0.0
727,1749378877.4584138,1.0
733,1749378877.7520142,1.0
735,1749378877.8479578,1.0
740,1749378878.0845096,1.0
752,1749378878.6460383,0.0
757,1749378878.881238,0.0
759,1749378878.9813218,0.0
765,1749378879.2580338,0.96875
768,1749378879.3984954,1.0
773,1749378879.6269374,1.0
778,1749378879.8597112,1.0
781,1749378879.997951,1.0
782,1749378880.0444236,1.0
785,1749378880.1830082,1.0
793,1749378880.5580952,1.0
799,1749378880.8414361,0.0
811,1749378881.4059317,0.9765625
812,1749378881.4517205,0.9921875
817,1749378881.6894903,1.0
826,1749378882.118952,1.0
829,1749378882.2578335,1.0
839,1749378882.7306373,1.0
843,1749378882.924521,1.0
847,1749378883.1118574,0.0
849,1749378883.199849,0.0
851,1749378883.2945051,0.0
852,1749378883.3417234,0.0
854,1749378883.4405036,0.0
865,1749378883.9579184,1.0
866,1749378884.0040102,0.9921875
867,1749378884.0508873,1.0
869,1749378884.1513028,1.0
871,1749378884.2456543,1.0
875,1749378884.4381914,1.0
877,1749378884.532317,1.0
884,1749378884.8615274,1.0
885,1749378884.912457,1.0
889,1749378885.0985742,1.0
894,1749378885.3401444,0.0
897,1749378885.4812233,0.0
900,1749378885.627627,0.0
902,1749378885.7195842,0.015625
905,1749378885.865347,0.5703125
909,1749378886.059793,0.9609375
914,1749378886.3003743,1.0
921,1749378886.6386356,1.0
926,1749378886.8850524,1.0
935,1749378887.317369,1.0
941,1749378887.601486,0.0
945,1749378887.7854211,0.0
949,1749378887.9784453,0.28125
951,1749378888.0693445,0.453125
957,1749378888.3543248,0.984375
972,1749378889.0658906,1.0
975,1749378889.2077034,1.0
983,1749378889.5749662,1.0
990,1749378889.9040978,0.0
999,1749378890.4353032,0.625
1000,1749378890.4923422,0.9296875
1007,1749378890.8498175,0.9765625
1011,1749378891.0601637,1.0
1013,1749378891.1608255,1.0
1017,1749378891.3630238,1.0
1026,1749378891.7934957,1.0
1034,1749378892.2000117,1.0
1040,1749378892.5047557,0.0
1043,1749378892.6602125,0.0
1056,1749378893.3105385,0.9921875
1057,1749378893.3592863,1.0
1062,1749378893.6115236,1.0
1064,1749378893.7162628,1.0
1069,1749378893.9685278,1.0
1080,1749378894.5240061,1.0
1081,1749378894.573121,1.0
1084,1749378894.728959,0.0
1085,1749378894.7803774,0.0
1087,1749378894.8797803,0.0
1092,1749378895.1346097,0.0
1094,1749378895.2410545,0.0
1095,1749378895.2930486,0.0
1096,1749378895.3421764,0.0078125
1101,1749378895.6056294,0.9453125
1106,1749378895.8659315,1.0
1110,1749378896.062468,1.0
1117,1749378896.4124012,1.0
1118,1749378896.466702,1.0
1129,1749378897.0257475,1.0
1133,1749378897.2270656,0.0
1143,1749378897.7267025,0.7265625
1148,1749378897.9823933,0.9921875
1154,1749378898.291476,1.0
1155,1749378898.3465939,1.0
1168,1749378899.0020816,1.0
1178,1749378899.5186143,0.0
1191,1749378900.1792238,0.984375
1195,1749378900.391532,1.0
1207,1749378901.0126193,1.0
1213,1749378901.3129377,1.0
1218,1749378901.5661418,1.0
1222,1749378901.7610843,0.0
1230,1749378902.1599085,0.6640625
1237,1749378902.5075388,1.0
1248,1749378903.0517786,1.0
1250,1749378903.1502316,1.0
1266,1749378903.9444745,0.1328125
1267,1749378903.9993145,0.25
1274,1749378904.3425968,0.796875
1291,1749378905.2056527,1.0
1292,1749378905.2557445,1.0
1299,1749378905.6067548,1.0
1303,1749378905.8115182,1.0
1325,1749378906.9552004,0.5859375
1327,1749378907.0545275,0.8671875
1328,1749378907.1053357,0.921875
1329,1749378907.1593926,0.9375
1330,1749378907.2098703,0.9921875
1332,1749378907.3090537,0.9921875
1334,1749378907.415491,0.9921875
1335,1749378907.4641898,0.9921875
1338,1749378907.612386,1.0
1340,1749378907.7112167,1.0
1350,1749378908.2186706,1.0
1353,1749378908.366508,1.0
1357,1749378908.5720885,1.0
1361,1749378908.7765281,0.0
1371,1749378909.2792485,0.609375
1389,1749378910.1967351,0.9921875
1391,1749378910.3004622,1.0
1392,1749378910.3565226,1.0
1396,1749378910.558354,1.0
1400,1749378910.7670512,1.0
1401,1749378910.8194096,1.0
1406,1749378911.0768688,1.0
1409,1749378911.2359903,0.0
1410,1749378911.2934356,0.0078125
1412,1749378911.397306,0.125
1415,1749378911.5562427,0.609375
1421,1749378911.870522,0.9921875
1424,1749378912.0259943,0.9765625
1427,1749378912.1838784,1.0
1432,1749378912.4426079,1.0
1437,1749378912.7048886,1.0
1439,1749378912.8055794,1.0
1441,1749378912.9089038,1.0
1457,1749378913.7364,0.4609375
1460,1749378913.8928857,0.5859375
1463,1749378914.0442367,0.921875
1467,1749378914.2497354,0.9296875
1472,1749378914.502733,0.9765625
1475,1749378914.647267,0.9921875
1476,1749378914.698221,0.9375
1477,1749378914.7491214,1.0
1483,1749378915.0582545,0.9921875
1485,1749378915.159571,1.0
1488,1749378915.3145478,1.0
1493,1749378915.5692844,1.0
1499,1749378915.8768334,0.9921875
1503,1749378916.087319,1.0
1514,1749378916.6516109,0.3984375
1518,1749378916.8549573,0.8359375
1520,1749378916.9606934,0.921875
1521,1749378917.0099847,0.953125
1537,1749378917.832707,1.0
1542,1749378918.0900254,1.0
1559,1749378918.987408,0.0
1563,1749378919.1847095,0.2421875
1568,1749378919.4439642,0.9375
1573,1749378919.7068076,1.0
1577,1749378919.916933,0.96875
1578,1749378919.9674869,0.9921875
1579,1749378920.0178995,1.0
1589,1749378920.5329878,0.9921875
1590,1749378920.5845006,1.0
1594,1749378920.7916348,1.0
1601,1749378921.1536417,0.0078125
1604,1749378921.3056695,0.046875
1610,1749378921.618528,0.7578125
1612,1749378921.7268736,0.8046875
1613,1749378921.7762353,0.7890625
1615,1749378921.8782825,0.953125
1619,1749378922.0855389,0.9609375
1621,1749378922.193832,1.0
1625,1749378922.3980606,0.9921875
1627,1749378922.5060034,1.0
1628,1749378922.5571585,1.0
1630,1749378922.659795,1.0
1634,1749378922.891793,1.0
1635,1749378922.9423707,1.0
1636,1749378922.9930825,1.0
1638,1749378923.1014216,1.0
1640,1749378923.2054877,1.0
1643,1749378923.3653727,1.0
1645,1749378923.465321,1.0
1649,1749378923.6685386,0.0
1655,1749378923.9866056,0.1875
1664,1749378924.441987,0.9609375
1668,1749378924.6573846,0.9921875
1673,1749378924.921119,0.984375
1674,1749378924.9727688,1.0
1676,1749378925.0738883,1.0
1680,1749378925.2871864,1.0
1683,1749378925.4459236,1.0
1684,1749378925.4961798,1.0
1690,1749378925.8061898,0.0
1694,1749378926.0118842,0.0078125
1697,1749378926.1707492,0.5234375
1699,1749378926.2647157,0.765625
1701,1749378926.3618464,0.828125
1703,1749378926.4655874,0.953125
1704,1749378926.5245776,0.96875
1706,1749378926.6301596,0.9765625
1717,1749378927.1816738,1.0
1731,1749378927.8843904,1.0
1739,1749378928.290492,0.6796875
1747,1749378928.7051134,0.9453125
1748,1749378928.756583,0.96875
1751,1749378928.90896,0.9765625
1752,1749378928.9649022,0.9921875
1758,1749378929.2740602,0.9921875
1759,1749378929.3232825,1.0
1763,1749378929.5267882,1.0
1765,1749378929.6274793,1.0
1767,1749378929.7287707,1.0
1770,1749378929.8897865,1.0
1778,1749378930.30361,1.0
1780,1749378930.4108353,1.0
1782,1749378930.5105493,1.0
1784,1749378930.616793,0.0
1788,1749378930.810264,0.0390625
1789,1749378930.8605423,0.15625
1791,1749378930.9602582,0.5546875
1796,1749378931.2295816,0.8984375
1799,1749378931.38955,0.96875
1801,1749378931.5014646,0.9765625
1803,1749378931.6066267,0.984375
1807,1749378931.8221073,0.984375
1813,1749378932.1305122,1.0
1817,1749378932.3372178,1.0
1827,1749378932.8466175,1.0
1829,1749378932.9490545,0.296875
1835,1749378933.2674344,0.203125
1844,1749378933.7320437,0.828125
1857,1749378934.3953416,0.9921875
1859,1749378934.500989,1.0
1864,1749378934.7595484,0.984375
1867,1749378934.9106593,0.9765625
1879,1749378935.5208108,0.5703125
1880,1749378935.5715067,0.515625
1881,1749378935.6202729,0.6640625
1882,1749378935.669485,0.859375
1890,1749378936.071924,1.0
1901,1749378936.633936,0.9921875
1905,1749378936.8328133,1.0
1907,1749378936.9544704,1.0
1917,1749378937.4508953,1.0
1918,1749378937.4995468,1.0
1923,1749378937.7518766,0.9140625
1926,1749378937.901899,0.9375
1928,1749378937.995548,0.9296875
1934,1749378938.2929528,0.9765625
1936,1749378938.3927147,0.9609375
1940,1749378938.600751,0.96875
1954,1749378939.3102684,1.0
1957,1749378939.4591472,0.984375
1962,1749378939.7133796,1.0
1963,1749378939.763458,0.9921875
1975,1749378940.3711286,0.0
1986,1749378940.9378664,0.75
1994,1749378941.3401432,0.9609375
1997,1749378941.4911137,0.96875
1998,1749378941.540858,0.9609375
2001,1749378941.7111728,0.9921875
2002,1749378941.761619,1.0
2004,1749378941.8673646,0.9921875
2005,1749378941.9186532,0.9921875
2010,1749378942.1708746,1.0
2012,1749378942.2681625,0.9921875
2015,1749378942.4226763,1.0
2019,1749378942.6255949,1.0
2020,1749378942.6767764,1.0
2023,1749378942.8239777,0.0078125
