step,wall_time,value
0,1749596045.0907958,11.84000015258789
1,1749596045.0907958,40.790000915527344
2,1749596045.0907958,80.94000244140625
3,1749596045.0907958,80.70999908447266
4,1749596045.0907958,78.61000061035156
5,1749596045.0907958,77.87999725341797
6,1749596045.0907958,77.55000305175781
7,1749596045.0907958,77.43000030517578
8,1749596045.0907958,77.5
9,1749596045.0907958,77.76000213623047
10,1749596045.0907958,77.76000213623047
11,1749596045.0907958,78.54000091552734
12,1749596045.0917964,76.43000030517578
13,1749596045.0917964,77.06999969482422
14,1749596045.0917964,76.75
15,1749596045.0928,76.66999816894531
16,1749596045.0928,75.87000274658203
17,1749596045.0928,75.1500015258789
18,1749596045.0937974,75.91000366210938
19,1749596045.1042066,75.86000061035156
20,1749596045.10498,76.91000366210938
