step,wall_time,value
1,1749596045.10498,1.3017088174819946
2,1749596045.10498,0.4851095676422119
3,1749596045.1059906,0.46450135111808777
4,1749596045.1059906,0.501716136932373
5,1749596045.1059906,0.5338310599327087
6,1749596045.1069934,0.5541484355926514
7,1749596045.1069934,0.5396081805229187
8,1749596045.1069934,0.5382152795791626
9,1749596045.1069934,0.5268980264663696
10,1749596045.1080785,0.5339958667755127
11,1749596045.1080785,0.5232317447662354
12,1749596045.1090875,0.5509682893753052
13,1749596045.1090875,0.5416802167892456
14,1749596045.1090875,0.5503159761428833
15,1749596045.1090875,0.5439856052398682
16,1749596045.1100829,0.5703147649765015
17,1749596045.1100829,0.5706657767295837
18,1749596045.1100829,0.5446946024894714
19,1749596045.1110802,0.5545568466186523
20,1749596045.1110802,0.5623248815536499
